Année;Groupe;Type;Durée;Matière;Contenu;Enseignant;Type ens;Salle INFO;Evaluation;Charge;Date affectée;Créneau;Salles;ID
BUT3;VCOD;CM;2;R6.VCOD.6;QGIS;AC;V;Faux;Faux;Faux;23/01/2024;AM-1a;C204;2§3.85
BUT3;VCOD;CM;2;R6.VCOD.6;QGIS;AC;V;Faux;Faux;Faux;23/01/2024;AM-3a;A118;2§3.86
BUT3;VCOD;TD;2;SAE6-VCOD.1;suite projet LP avec hébergement sur serveur de l'UPVD;PDS;T;Vrai;Faux;Faux;24/01/2024;AM-1a;A017;2§3.87
BUT3;VCOD;TP;2;SAE6-VCOD.1;suite projet LP avec hébergement sur serveur de l'UPVD;PDS;T;Vrai;Faux;Faux;25/01/2024;PM-1a;A017;2§3.88
BUT3;VCOD;encad;2;SAE6-VCOD.1;suite projet LP avec hébergement sur serveur de l'UPVD;PDS;T;Vrai;Faux;Faux;24/01/2024;AM-3a;A118;2§3.90
BUT3;VCOD;TP;2;SAE6-VCOD.1;suite projet LP avec hébergement sur serveur de l'UPVD;IU;T;Vrai;Faux;Faux;25/01/2024;PM-3a;A119;2§3.91
BUT1;;CM;3;Réunion;Conférence de l'IGN;admin;T;Faux;Faux;Faux;25/01/2024;AM-2a;Salle1-Odeum;2§3.1%0
BUT2;;CM-co;3;Réunion;Conférence de l'IGN;admin;T;Faux;Faux;Faux;25/01/2024;AM-2a;A017;2§3.1%1
BUT3;;CM-co;3;Réunion;Conférence de l'IGN;admin;T;Faux;Faux;Faux;25/01/2024;AM-2a;A110;2§3.1%3
FIN;;;;;;;;;;;;;;
